                                                                               
{'loss': '0.1014', 'grad_norm': '7.834', 'learning_rate': '1.228e-05', 'epoch': '0.1842'}
{'loss': '0.1051', 'grad_norm': '4.157', 'learning_rate': '1.242e-05', 'epoch': '0.1864'}
{'loss': '0.0613', 'grad_norm': '0.05716', 'learning_rate': '1.257e-05', 'epoch': '0.1886'}
{'loss': '0.05476', 'grad_norm': '0.0374', 'learning_rate': '1.272e-05', 'epoch': '0.1908'}
{'loss': '0.07988', 'grad_norm': '0.0835', 'learning_rate': '1.286e-05', 'epoch': '0.193'}
{'loss': '0.04559', 'grad_norm': '0.5608', 'learning_rate': '1.301e-05', 'epoch': '0.1952'}
{'loss': '0.04278', 'grad_norm': '12.89', 'learning_rate': '1.315e-05', 'epoch': '0.1974'}
{'loss': '0.05877', 'grad_norm': '0.01342', 'learning_rate': '1.33e-05', 'epoch': '0.1996'}
{'loss': '0.09744', 'grad_norm': '0.04933', 'learning_rate': '1.345e-05', 'epoch': '0.2018'}
{'loss': '0.02587', 'grad_norm': '0.03628', 'learning_rate': '1.359e-05', 'epoch': '0.204'}
{'loss': '0.06389', 'grad_norm': '13.9', 'learning_rate': '1.374e-05', 'epoch': '0.2062'}
{'loss': '0.05367', 'grad_norm': '1.945', 'learning_rate': '1.389e-05', 'epoch': '0.2084'}
{'loss': '0.04579', 'grad_norm': '10.02', 'learning_rate': '1.403e-05', 'epoch': '0.2106'}
{'loss': '0.08649', 'grad_norm': '0.3088', 'learning_rate': '1.418e-05', 'epoch': '0.2127'}
{'loss': '0.08786', 'grad_norm': '0.218', 'learning_rate': '1.432e-05', 'epoch': '0.2149'}
{'loss': '0.05314', 'grad_norm': '12.82', 'learning_rate': '1.447e-05', 'epoch': '0.2171'}
{'loss': '0.07361', 'grad_norm': '0.04769', 'learning_rate': '1.462e-05', 'epoch': '0.2193'}
{'loss': '0.063', 'grad_norm': '1.935', 'learning_rate': '1.476e-05', 'epoch': '0.2215'}
{'loss': '0.05047', 'grad_norm': '0.09511', 'learning_rate': '1.491e-05', 'epoch': '0.2237'}
{'loss': '0.05507', 'grad_norm': '0.2263', 'learning_rate': '1.506e-05', 'epoch': '0.2259'}
{'loss': '0.05733', 'grad_norm': '0.03004', 'learning_rate': '1.52e-05', 'epoch': '0.2281'}
{'loss': '0.04529', 'grad_norm': '0.0726', 'learning_rate': '1.535e-05', 'epoch': '0.2303'}
{'loss': '0.02983', 'grad_norm': '0.07439', 'learning_rate': '1.549e-05', 'epoch': '0.2325'}
{'loss': '0.03438', 'grad_norm': '0.127', 'learning_rate': '1.564e-05', 'epoch': '0.2347'}
{'loss': '0.04443', 'grad_norm': '0.01396', 'learning_rate': '1.579e-05', 'epoch': '0.2369'}
{'loss': '0.03246', 'grad_norm': '0.1568', 'learning_rate': '1.593e-05', 'epoch': '0.2391'}
{'loss': '0.07648', 'grad_norm': '0.01816', 'learning_rate': '1.608e-05', 'epoch': '0.2413'}
{'loss': '0.08054', 'grad_norm': '0.02809', 'learning_rate': '1.623e-05', 'epoch': '0.2435'}
{'loss': '0.0334', 'grad_norm': '0.03637', 'learning_rate': '1.637e-05', 'epoch': '0.2456'}
{'loss': '0.05926', 'grad_norm': '4.664', 'learning_rate': '1.652e-05', 'epoch': '0.2478'}
{'loss': '0.02565', 'grad_norm': '0.05637', 'learning_rate': '1.666e-05', 'epoch': '0.25'}
{'loss': '0.0839', 'grad_norm': '6.369', 'learning_rate': '1.681e-05', 'epoch': '0.2522'}
{'loss': '0.05027', 'grad_norm': '10.42', 'learning_rate': '1.696e-05', 'epoch': '0.2544'}
{'loss': '0.03497', 'grad_norm': '0.01145', 'learning_rate': '1.71e-05', 'epoch': '0.2566'}
{'loss': '0.08646', 'grad_norm': '0.04036', 'learning_rate': '1.725e-05', 'epoch': '0.2588'}
{'loss': '0.06173', 'grad_norm': '9.975', 'learning_rate': '1.739e-05', 'epoch': '0.261'}
{'loss': '0.02817', 'grad_norm': '0.06956', 'learning_rate': '1.754e-05', 'epoch': '0.2632'}
{'loss': '0.04292', 'grad_norm': '0.0114', 'learning_rate': '1.769e-05', 'epoch': '0.2654'}
{'loss': '0.05881', 'grad_norm': '0.01256', 'learning_rate': '1.783e-05', 'epoch': '0.2676'}
{'loss': '0.07016', 'grad_norm': '13.2', 'learning_rate': '1.798e-05', 'epoch': '0.2698'}
{'loss': '0.0532', 'grad_norm': '13.12', 'learning_rate': '1.813e-05', 'epoch': '0.272'}
{'loss': '0.1026', 'grad_norm': '4.698', 'learning_rate': '1.827e-05', 'epoch': '0.2742'}
{'loss': '0.05367', 'grad_norm': '0.04004', 'learning_rate': '1.842e-05', 'epoch': '0.2764'}
{'loss': '0.03496', 'grad_norm': '0.02105', 'learning_rate': '1.856e-05', 'epoch': '0.2785'}
{'loss': '0.04249', 'grad_norm': '7.604', 'learning_rate': '1.871e-05', 'epoch': '0.2807'}
{'loss': '0.06454', 'grad_norm': '11.09', 'learning_rate': '1.886e-05', 'epoch': '0.2829'}
